Id,SalePrice
1461,109627.82034196
1462,160206.886967883
1463,173140.284686822
1464,197284.356356845
1465,224560.17682845
1466,197950.262980379
1467,168393.930043311
1468,188654.405536296
1469,202151.104692991
1470,88063.3519838241
1471,206403.621562315
1472,145474.726136458
1473,126797.628278517
1474,176593.431976595
1475,163296.251614517
1476,323696.548089397
1477,249452.500703459
1478,282209.484069176
1479,264712.019776633
1480,343171.097957214
1481,289784.531060726
1482,237149.253757547
1483,183400.952255362
1484,197983.783447942
1485,211201.280925892
1486,233490.146714217
1487,301753.493346208
1488,250618.502968973
1489,204016.346704102
1490,192341.332961542
1491,228895.784406874
1492,96325.8723673821
1493,178452.603465412
1494,291430.182018395
1495,283231.425212759
1496,218279.082318285
1497,230199.589926525
1498,200398.320905924
1499,200398.320905924
1500,177937.386268252
1501,192572.637745192
1502,192447.908008792
1503,242129.763227532
1504,263825.77697201
1505,217527.234942828
1506,195750.736308839
1507,250102.483766431
1508,205101.118952458
1509,186327.299085533
1510,132989.186866287
1511,131561.209392383
1512,150749.184149366
1513,190897.806618078
1514,161783.448952984
1515,202291.513766716
1516,169799.542997713
1517,151728.370701355
1518,152084.405221404
1519,217282.298859294
1520,123962.865408183
1521,127874.281967137
1522,176290.562868554
1523,109311.132588534
1524,115557.403721341
1525,111345.780751669
1526,113839.443311632
1527,69453.4255287749
1528,148686.902949816
1529,126449.712318204
1530,166805.039668121
1531,112783.367040605
1532,91607.3381057869
1533,135628.213457976
1534,145362.267912414
1535,148883.942138255
1536,110791.905037799
1537,11062.3070420045
1538,196307.9672243
1539,234891.366747119
1540,168559.87149263
1541,150957.566631366
1542,148580.327902566
1543,213281.106409064
1544,58294.9887709046
1545,138474.132276371
1546,142947.730454432
1547,134707.892403643
1548,160607.410558056
1549,106065.809998614
1550,133859.880801349
1551,126499.099468594
1552,127610.946971219
1553,151544.348152919
1554,140892.822686971
1555,156992.605239349
1556,107987.812592205
1557,117418.065465453
1558,125749.91479046
1559,118767.475619522
1560,132798.348667908
1561,145544.743327821
1562,111879.954643361
1563,111141.738567788
1564,147744.457344861
1565,146903.261392509
1566,204466.070099165
1567,58736.4062607306
1568,210688.856893821
1569,92062.7573321436
1570,140374.19766484
1571,116854.951373198
1572,123262.880534939
1573,222021.280070715
1574,136086.670072657
1575,206362.727662663
1576,207076.901617938
1577,204764.786254588
1578,138403.313079627
1579,131415.100233009
1580,227443.952158173
1581,125700.52764007
1582,113887.152861227
1583,273397.240924366
1584,252650.858871431
1585,152847.835859303
1586,35340.0290135459
1587,112087.404652213
1588,131754.282973704
1589,91837.7104162889
1590,154242.480211144
1591,86904.9104958991
1592,115958.672439162
1593,121338.402589525
1594,196331.072617096
1595,142431.153469743
1596,226818.512119911
1597,183658.904978898
1598,223460.22614718
1599,207786.739529448
1600,217534.23793827
1601,1934.9232767979
1602,127920.261292556
1603,55402.292876063
1604,253284.792160431
1605,267047.432132633
1606,166976.921171968
1607,213848.426077318
1608,211463.256134281
1609,203768.002795597
1610,166155.239696295
1611,134475.842492346
1612,164285.844732565
1613,156445.972489802
1614,118671.180924919
1615,101101.407180337
